page_type,route,brand_slug,model_slug,variant_slug,display_name,main_image,small_image
model,/audi/a1,audi,a1,,Audi A1,/images/brands/audi/models/audi-a1-main.webp,/images/brands/audi/models/audi-a1-small.webp
model,/audi/a3,audi,a3,,Audi A3,/images/brands/audi/models/audi-a3-main.webp,/images/brands/audi/models/audi-a3-small.webp
model,/audi/a4,audi,a4,,Audi A4,/images/brands/audi/models/audi-a4-main.webp,/images/brands/audi/models/audi-a4-small.webp
model,/audi/a5,audi,a5,,Audi A5,/images/brands/audi/models/audi-a5-main.webp,/images/brands/audi/models/audi-a5-small.webp
model,/audi/a6,audi,a6,,Audi A6,/images/brands/audi/models/audi-a6-main.webp,/images/brands/audi/models/audi-a6-small.webp
model,/audi/a7,audi,a7,,Audi A7,/images/brands/audi/models/audi-a7-main.webp,/images/brands/audi/models/audi-a7-small.webp
model,/audi/a8,audi,a8,,Audi A8,/images/brands/audi/models/audi-a8-main.webp,/images/brands/audi/models/audi-a8-small.webp
model,/audi/allroad,audi,allroad,,Audi Allroad,/images/brands/audi/models/audi-allroad-main.webp,/images/brands/audi/models/audi-allroad-small.webp
model,/audi/q2,audi,q2,,Audi Q2,/images/brands/audi/models/audi-q2-main.webp,/images/brands/audi/models/audi-q2-small.webp
model,/audi/q3,audi,q3,,Audi Q3,/images/brands/audi/models/audi-q3-main.webp,/images/brands/audi/models/audi-q3-small.webp
model,/audi/q5,audi,q5,,Audi Q5,/images/brands/audi/models/audi-q5-main.webp,/images/brands/audi/models/audi-q5-small.webp
model,/audi/q7,audi,q7,,Audi Q7,/images/brands/audi/models/audi-q7-main.webp,/images/brands/audi/models/audi-q7-small.webp
model,/audi/r8,audi,r8,,Audi R8,/images/brands/audi/models/audi-r8-main.webp,/images/brands/audi/models/audi-r8-small.webp
model,/audi/tt,audi,tt,,Audi TT,/images/brands/audi/models/audi-tt-main.webp,/images/brands/audi/models/audi-tt-small.webp
model,/bmw/2002,bmw,2002,,BMW 2002,/images/brands/bmw/models/bmw-2002-main.webp,/images/brands/bmw/models/bmw-2002-small.webp
model,/bmw/i-series,bmw,i-series,,BMW i Series,/images/brands/bmw/models/bmw-i-series-main.webp,/images/brands/bmw/models/bmw-i-series-small.webp
model,/bmw/m1,bmw,m1,,BMW M1,/images/brands/bmw/models/bmw-m1-main.webp,/images/brands/bmw/models/bmw-m1-small.webp
model,/bmw/m2,bmw,m2,,BMW M2,/images/brands/bmw/models/bmw-m2-main.webp,/images/brands/bmw/models/bmw-m2-small.webp
model,/bmw/m3,bmw,m3,,BMW M3,/images/brands/bmw/models/bmw-m3-main.webp,/images/brands/bmw/models/bmw-m3-small.webp
model,/bmw/m4,bmw,m4,,BMW M4,/images/brands/bmw/models/bmw-m4-main.webp,/images/brands/bmw/models/bmw-m4-small.webp
model,/bmw/m5,bmw,m5,,BMW M5,/images/brands/bmw/models/bmw-m5-main.webp,/images/brands/bmw/models/bmw-m5-small.webp
model,/bmw/m6,bmw,m6,,BMW M6,/images/brands/bmw/models/bmw-m6-main.webp,/images/brands/bmw/models/bmw-m6-small.webp
model,/bmw/m8,bmw,m8,,BMW M8,/images/brands/bmw/models/bmw-m8-main.webp,/images/brands/bmw/models/bmw-m8-small.webp
model,/bmw/x1,bmw,x1,,BMW X1,/images/brands/bmw/models/bmw-x1-main.webp,/images/brands/bmw/models/bmw-x1-small.webp
model,/bmw/x2,bmw,x2,,BMW X2,/images/brands/bmw/models/bmw-x2-main.webp,/images/brands/bmw/models/bmw-x2-small.webp
model,/bmw/x3,bmw,x3,,BMW X3,/images/brands/bmw/models/bmw-x3-main.webp,/images/brands/bmw/models/bmw-x3-small.webp
model,/bmw/x4,bmw,x4,,BMW X4,/images/brands/bmw/models/bmw-x4-main.webp,/images/brands/bmw/models/bmw-x4-small.webp
model,/bmw/x5,bmw,x5,,BMW X5,/images/brands/bmw/models/bmw-x5-main.webp,/images/brands/bmw/models/bmw-x5-small.webp
